filename,xmin,ymin,xmax,ymax,label
IMG_20260106_153450 (5).jpg,0.921,323.0,920.079,1693.0,Athena
IMG_20260106_153454 (3).jpg,85.0,475.0,870.0,2043.954,Athena
IMG_20260106_153435 (3).jpg,1.536,443.0,1525.0,1394.0,Athena
IMG_20260106_153442 (3).jpg,0.921,354.0,920.079,1952.0,Athena
IMG_20260106_153806 (2).jpg,2.047,0.921,1880.0,869.0,Athena
IMG_20251231_183024.jpg,483.0,739.0,1533.0,1787.0,Athena
PXL_20250624_220454071.jpg,3.072,893.0,1510.0,2407.0,Athena
PXL_20251231_212738577.jpg,763.0,335.0,2617.0,3574.0,Athena
PXL_20260106_214624773.jpg,9.0,1485.0,3063.0,4075.92,Athena
IMG_20260106_153434.jpg,311.0,0.899,1157.0,858.0,Athena
IMG_20251231_183051.jpg,861.0,960.0,1534.0,1485.0,Athena
IMG_20260106_153446 (3).jpg,0.923,293.0,922.077,1228.0,Athena
PXL_20260106_214632639.jpg,4.08,9.0,3586.0,2287.0,Athena
IMG_20260106_153439 (2).jpg,0.921,686.0,895.0,2044.953,Athena
IMG_20260106_153434 (9).jpg,0.921,676.0,763.0,1371.0,Athena
IMG_20260106_153454 (5).jpg,1.054,209.0,1046.0,2044.953,Athena
IMG_20260106_153442.jpg,0.921,428.0,920.079,1296.0,Athena
IMG_20260106_153806.jpg,1.835,1.582,1833.165,1521.0,Athena
IMG_20260106_153439 (1).jpg,0.921,426.0,881.0,1602.0,Athena
IMG_20260106_153446 (6).jpg,345.0,0.921,2044.953,870.0,Athena
IMG_20260106_153450 (6).jpg,2.047,0.923,1814.0,790.0,Athena
IMG_20260106_153434 (7).jpg,0.921,362.0,920.079,1919.0,Athena
IMG_20260106_153439 (4).jpg,341.0,482.0,1534.464,1696.0,Athena
IMG_20251231_183053.jpg,823.0,836.0,1725.0,1201.0,Athena
PXL_20260106_214618045.jpg,394.0,1173.0,3980.0,2948.0,Athena
PXL_20260106_214636258.jpg,362.0,1322.0,3751.0,3000.0,Athena
IMG_20260106_153442 (1).jpg,0.921,314.0,757.0,1187.0,Athena
PXL_20250418_191922974.jpg,1668.0,2324.0,3068.928,3314.0,Athena
IMG_20260106_153500.jpg,242.0,616.0,920.079,2044.953,Athena
IMG_20260106_153442 (5).jpg,41.0,475.0,920.079,1435.0,Athena
IMG_20260106_153442 (4).jpg,486.0,0.921,1658.0,920.079,Athena
PXL_20260106_214638315.jpg,1249.0,3.072,4075.92,2266.0,Athena
IMG_20260106_153454 (6).jpg,0.923,457.0,922.077,2044.953,Athena
